Type,Yarn#,Description,Pounds,Mill,Usage,Loss%,Lbs/Wk,MillStyle,
Dye,80A-102,BLACK,191,W,,1,,    542A22672-2   ,
Dye,80A-102,BLACK,393,W,,1,,    542A23589-1   ,
Dye,80A-102,BLACK,419,W,,1,,    513A24347-1   ,
Dye,80A-102,BLACK,183,W,,1,,    542A24378-1   ,
Dye,80A-102,BLACK,270,W,,1,,    542A24385-1   ,
Dye,80A-102,BLACK,34,W,,1,,    542A24501-1   ,
Dye,80A-102,BLACK,34,W,,1,,    542A24501-2   ,
Dye,80A-102,BLACK,320,W,,1,,    542A22818-3   ,
Dye,80A-102,BLACK,645,W,,1,,    542A24468-1   ,
Dye,80A-102,BLACK,200,W,,1,,    542A24467-2   ,
Dye,80A-102,BLACK,103,W,,1,,    542A24476-1   ,
Dye,80A-102,BLACK,221,W,,1,,    542A24471-1   ,
Dye,80A-102,BLACK,318,W,,1,,    542A24473-1   ,
Dye,80A-111,BLUE,223,W,,1,,    542A24386-1   ,
Dye,80A-112,BLUE,461,W,,1,,    542A23907-1   ,
Dye,80A-112,BLUE,1727,W,,1,,    542A23906-1   ,
Dye,80A-112,BLUE,165,W,,1,,    542A24274-1   ,
Dye,80A-112,BLUE,143,W,,1,,    542A24277-1   ,
Dye,80A-112,BLUE,83,W,,1,,    542A24282-2   ,
Dye,80A-130,SLATE,494,W,,1,,    542A24276-1   ,
Dye,80A-130,SLATE,274,W,,1,,    770A24328-1   ,
Dye,80A-130,SLATE,274,W,,1,,    770A24328-2   ,
Dye,80A-130,SLATE,449,W,,1,,    781A23749-2   ,
Dye,80A-136,RUST,563,W,,1,,    513A24027-1   ,
Dye,80A-140,NAVY,171,W,,1,,    542A23726-1   ,
Dye,80A-140,NAVY,370,W,,1,,    542A23907-1   ,
Dye,80A-140,NAVY,2162,W,,1,,    542A23908-1   ,
Dye,80A-140,NAVY,487,W,,1,,    542A23910-1   ,
Dye,80A-140,NAVY,285,W,,1,,    542A23917-1   ,
Dye,80A-140,NAVY,317,W,,1,,    781A23749-1   ,
Dye,80A-140,NAVY,413,W,,1,,    513A24072-1   ,
Dye,80A-140,NAVY,490,W,,1,,    542A24097-1   ,
Dye,80A-140,NAVY,260,W,,1,,    542A24276-2   ,
Dye,80A-140,NAVY,1696,W,,1,,    542A24276-3   ,
Dye,80A-140,NAVY,72,W,,1,,    542A24279-2   ,
Dye,80A-140,NAVY,162,W,,1,,    513A24291-1   ,
Dye,80A-140,NAVY,69,W,,1,,    513A24292-1   ,
Dye,80A-140,NAVY,304,W,,1,,    513A24293-1   ,
Dye,80A-140,NAVY,674,W,,1,,    542A24386-1   ,
Dye,80A-144,TAN,139,W,,1,,    542A23724-1   ,
Dye,80A-144,TAN,32,W,,1,,    542A24095-1   ,
Dye,80A-144,TAN,223,W,,1,,    542A24096-1   ,
Dye,80A-144,TAN,1267,W,,1,,    542A24103-1   ,
Dye,80A-144,TAN,476,W,,1,,    542A24270-1   ,
Dye,80A-144,TAN,118,W,,1,,    542A24273-2   ,
Dye,80A-144,TAN,24,W,,1,,    542A24279-1   ,
Dye,80A-144,TAN,103,W,,1,,    542A24279-2   ,
Dye,80A-144,TAN,280,W,,1,,    542A24470-1   ,
Dye,80A-145,TAN,115,W,,1,,    542A24384-2   ,
Dye,80A-146,GREY,150,W,,1,,    542A23724-2   ,
Dye,80A-146,GREY,48,W,,1,,    781A23749-1   ,
Dye,80A-146,GREY,26,W,,1,,    542A24286-1   ,
Dye,80A-146,GREY,46,W,,1,,    770A24328-2   ,
Dye,80A-146,GREY,115,W,,1,,    542A24384-1   ,
Dye,80A-146,GREY,223,W,,1,,    542A24386-1   ,
Dye,80A-146,GREY,219,W,,1,,    542A22050-3   ,
Dye,80A-148,NAVY,523,W,,1,,    542A23589-3   ,
Dye,80A-150,BROWN,28,W,,1,,    542A23552-1   ,
Dye,80A-150,BROWN,318,W,,1,,    542A23608-1   ,
Dye,80A-150,BROWN,174,W,,1,,    542A24282-1   ,
Dye,80A-150,BROWN,46,W,,1,,    770A24328-1   ,
